Word,Count
/,1390
the,477
*,427
<summary>,417
</summary>,417
<param,153
to,133
of,129
for,121
</param>,108
or,97
<see,83
a,80
file,79
is,72
an,65
assembly,65
All,63
in,62
Murrent,61
Mario,61
Copyright,61
</copyright>,61
*******************************************************,61
<author>Mario,61
*******************************************************/,61
\company="\MDMCoWorks"\>\,61
(c),61
Murrent</author>,61
<copyright,61
rights,61
reserved,61
Gets,53
sets,46
The,45
this,42
following,40
Version,39
from,38
class,38
information,34
representing,34
instance,33
type,33
and,31
not,31
can,30
if,29
value,29
be,29
///,28
values,28
<inheritdoc/>,27
with,27
Build,26
you,26
COM,26
ComVisible,26
Revision,26
attribute,26
set,26
that,25
log,25
files,24
new,24
method,22
event,20
all,20
queue,19
+,19
Class,19
attributes,19
size,19
\name="\sender"\>\,18
If,18
as,18
line,18
by,18
whether,17
should,17
message,17
</returns>,16
which,16
event</param>,16
directory,16
<returns>,16
on,16
access,16
indicating,15
configuration,15
command,15
default,15
through,14
Initializes,14
Test,14
used,14
You,14
types,14
Number,13
\AssemblyVersion("\1.0.*"\)]\,13
modify,13
GUID,13
exposed,13
below:,13
\COM,\,13
specify,13
makes,13
visible,13
false,13
project,13
typelib,13
four,13
Change,13
about,13
Setting,13
ID,13
associated,13
controlled,13
Major,13
values:,13
Numbers,13
\file="\AssemblyInfo.cs"\\,13
[assembly:,13
'*',13
these,13
consists,13
using,13
Minor,13
components,13
shown,13
true,13
Information,13
need,13
General,13
Event,11
console,11
when,11
directories,11
testing,11
Represents,11
\name="\data"\>\,10
TODO:,10
exception,10
\--"\\,10
progress,10
object,10
arguments,10
methods,10
handle,10
Delegate,10
blocks,10
must,10
A,10
\cref="\FileLogger"\/>\,9
<typeparam,9
logger,9
comparing,9
block,9
Occurs,9
\name="\e"\></param>\,9
option,8
given,8
test,8
},8
\cref="\FileWatcher"\/>\,8
thread,8
\name="\data"\>Data\,8
handler,8
Interface,8
has,8
\name="\sender"\></param>\,8
{,8
\name="\sender"\>Sender\,8
list,7
name,7
compare,7
return,7
been,7
e.Name,7
implement,7
</typeparam>,7
\name="\e"\>\,7
function,7
specified,7
\cref="\FileComparator"\/>\,6
sync,6
Field,6
parameter,6
\cref="\LoaderException"\/>\,6
folder,6
MB,6
watcher,6
source,6
device,6
\name="\message"\>\,5
this.OnProgressUpdate(,5
extended,5
valid,5
Type,5
content,5
Sets,5
List,5
two,5
Set,5
Sender,5
application,5
\cref="\QueueManager"\/>\,5
\cref="\LogQueueItem"\/>\,5
\cref="\ConfigurationManager"\/>\,5
get,5
\this,\,5
destination,5
write,5
\name="\T"\>\,5
enabled,5
are,5
string,5
options,5
up,5
entry,5
compared,5
null),4
Creates,4
objects,4
\sender,\,4
call,4
\e.FullPath,\,4
\UpdateProgressEventArgs("\File\,4
See,4
boolean,4
this.GetFileSystemWatcher(sender);,4
Object,4
catching,4
interaction,4
Write,4
\name="\messageType"\>\,4
mapping,4
\"\--"\));\,4
=,4
\name="\item"\>\,4
error,4
environment,4
e),4
\"\--\,4
Item,4
BiOWheelsFileSystemWatcher,4
+=,4
job,4
argument,4
process,4
created,4
protected,4
Checks,4
(watcher,4
Path,4
logic,4
!=,4
\name="\args"\>\,4
Log,4
Value,4
\cref="\DirectoryMapping"\/>\,4
void,4
char,4
\device,\,3
Get,3
\information,\,3
\this.AddQueueItem(watcher.Destinations,\,3
qualified,3
needed,3
parallel,3
worker,3
written,3
Register,3
destinations,3
changed,3
\name="\data"\></param>\,3
\cref="\BiOWheelsFileSystemWatcher"\/>\,3
exist,3
Block,3
open,3
FileAction.COPY);,3
different,3
args,3
\UpdateProgressEventArgs("\Added\,3
holding,3
Start,3
\name="\text"\>\,3
file</param>,3
GetLastError,3
\cref="\ConsoleLogger"\/>\,3
same,3
excluded,3
\this.OnProgressUpdate(this,\,3
I/O,3
\fails,\,3
contains,3
File,3
text,3
\name="\options"\>\,3
FileSystemEventArgs,3
status,3
Writes,3
coming,3
\succeeds,\,3
its,3
renamed,3
To,3
Data,2
item,2
e.OldName,2
MD5,2
Enumeration,2
mappings,2
Loads,2
Source,2
ToString,2
being,2
Create,2
check,2
\cref="\StringHelper"\/>\,2
background,2
where,2
most,2
wait,2
\name="\sourceFile"\>\,2
\read,\,2
Boolean,2
helper,2
events,2
does,2
instance</typeparam>,2
folders,2
\cref="\CommandLineArgsParser"\/>\,2
past,2
physical,2
skip,2
caught,2
\name="\entry"\>\,2
filename,2
key,2
<returns>A,2
jobs,2
\cref="\FileAction"\/>\,2
disable,2
-,2
\name="\fileAction"\>\,2
Compares,2
zero,2
specific,2
Initialize,2
Full,2
index,2
custom,2
\file,\,2
point,2
indication,2
will,2
data,2
