File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\BiOWheelsProgram.cs,381,211,107,11,52,1,118,453,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\IContainer.cs,49,10,5,0,2,1,37,129,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\SimpleContainer.cs,74,44,26,6,9,1,21,54,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\BiOWheelsConfiguration\BlockCompareOptions.cs,27,9,4,0,1,1,17,79,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\BiOWheelsConfiguration\Configuration.cs,39,12,7,0,4,1,23,93,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\BiOWheelsConfiguration\DirectoryMappingInfo.cs,34,11,6,0,3,1,20,79,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\BiOWheelsConfiguration\LogFileOptions.cs,27,9,4,0,1,1,17,67,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\BiOWheelsConfiguration\SourceMappingInfo.cs,30,11,5,0,2,1,17,68,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheels\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsCommandLineArgsParser\CommandLineArgsParser.cs,191,108,57,21,27,6,56,211,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsCommandLineArgsParser\ICommandLineArgsParser.cs,33,8,4,0,1,0,24,86,9,24
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsCommandLineArgsParser\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager\ConfigurationManager.cs,108,89,44,16,6,1,13,42,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager\IConfigurationManager.cs,48,9,4,0,1,1,38,133,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager\LoaderException.cs,44,15,8,0,3,1,26,100,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager\WriterStatus.cs,44,16,3,0,6,1,22,52,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager.Test\AssertHelper.cs,43,22,11,1,1,1,20,67,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager.Test\BiOWheelsConfigManagerTest.cs,101,58,29,1,14,1,29,116,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsConfigManager.Test\Properties\AssemblyInfo.cs,43,15,2,0,5,1,23,144,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\BiOWheelsFileSystemWatcher.cs,241,100,50,7,40,1,101,345,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\DirectoryMapping.cs,39,12,7,0,4,1,23,95,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\DirectoryVolumeComparator.cs,392,146,42,6,58,1,188,805,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\FileAction.cs,33,13,3,0,3,1,17,47,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\FileComparator.cs,142,81,41,6,24,1,37,150,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\FileWatcher.cs,602,275,132,22,81,1,246,915,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\IFileWatcher.cs,63,14,10,0,7,0,42,152,9,24
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\IQueueManager.cs,30,9,4,0,1,1,20,68,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\QueueManager.cs,326,199,84,13,41,1,86,323,0,1
C:\Users\Mario Murrent\Documents\GitHub\MIT_SAD\first_semester\programing\final_project\murrent\BiOWheels\BiOWheelsFileWatcher\SyncItem.cs,57,18,11,0,5,1,34,121,0,1
