date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:24	11688/11688	---MCZ	200	added ('OK')	text/html	etag:%2207dc8235ffc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html	(from )
20:24:24	701/701	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Dec%202013%2019:24:31%20GMT	http://material.htlwien10.at/robots.txt		(from )
20:24:24	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%220c931f5ffc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/pmg.css	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/pmg.css	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
20:24:25	11102/11102	---M--	200	added ('OK')	image/gif	etag:%22058738360fc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/images/back_03.gif	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/images/back_03.gif	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
20:24:25	4231/4231	---M--	200	added ('OK')	image/gif	etag:%22039698960fc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/images/head_rechts.gif	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/images/head_rechts.gif	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
20:24:25	62/62	---M--	200	added ('OK')	image/gif	etag:%220ce239460fc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/images/underscore1.gif	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/images/underscore1.gif	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
20:24:26	3788/3788	---M-Z	200	added ('OK')	text/html	etag:%2207dc8235ffc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/001_frage.html	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/001_frage.html	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
20:24:26	3658/3658	---M-Z	200	added ('OK')	text/html	etag:%22045c275ffc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/007_frage.html	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/007_frage.html	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
20:24:26	3637/3637	---M-Z	200	added ('OK')	text/html	etag:%220e5512d5ffc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/016_frage.html	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/016_frage.html	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
20:24:26	3631/3631	---M-Z	200	added ('OK')	text/html	etag:%22020aa355ffc71:0%22	http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/028_frage.html	C:/Users/Mario%20Murrent/Documents/GitHub/MIT_SAD/first_semester/projectmanagement/Projektmanagement/material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/028_frage.html	(from http://material.htlwien10.at/Unterrichtsmaterial/fach/pep/pm_test/deutsch/deutsch/000_katalog.html)
